id,name,category,one_liner,auth_methods,access_model,api_type,api_breadth,mcp_existing,buildability,main_blocker,confidence,evidence_urls,human_needed
1,Salesforce,CRM and Sales,Enterprise CRM platform with a broad REST and SOAP API surface for CRM objects and automation.,OAuth2,self_serve_free,REST,broad,False,ready_with_caveats,OAuth Connected App + sandbox setup friction; many customers require admin install approval.,0.85,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_oauth_and_connected_apps.htm|https://developer.salesforce.com/docs,True
2,HubSpot,CRM and Sales,HubSpot provides a CRM and sales platform with APIs to manage contacts and other CRM objects.,OAuth2,self_serve_free,REST,broad,False,ready_today,,0.9,https://developers.hubspot.com/docs/api-reference/latest/overview|https://developers.hubspot.com/docs/apps/legacy-apps/authentication/oauth-quickstart-guide,False
3,Pipedrive,CRM and Sales,"Pipedrive is a sales CRM and pipeline management software that helps businesses track leads, manage deals, automate sales processes, and gain real-time sales insights.",API key|OAuth2,self_serve_trial,REST,broad,False,ready_today,,1.0,https://developers.pipedrive.com/docs/api/v1|https://www.pipedrive.com/,False
4,Attio,CRM and Sales,"Attio is a flexible, data-driven CRM with a modern REST API, App SDK, SQL, and MCP for AI tools.",OAuth2|API key,self_serve_free,REST,broad,True,ready_today,,0.95,https://developers.attio.com/docs/overview|https://docs.attio.com/,False
5,Twenty,CRM and Sales,"Twenty is an open-source, customizable CRM platform that enables technical teams to build and adapt enterprise CRM solutions rapidly with AI-assisted tools and extensibility.",OAuth2|None / CLI local,open_source_local,SDK+MCP,broad,True,ready_today,,0.9,https://twenty.com,False
6,Podio,CRM and Sales,"Podio is a flexible work management platform that enables building customizable digital workspaces, automating workflows, and integrating with third-party tools via a comprehensive API.",API key,self_serve_trial,REST,broad,False,ready_today,,0.9,https://developers.podio.com/|https://podio.com,False
7,Zoho CRM,CRM and Sales,Zoho CRM is a sales CRM software that provides AI-powered automation and flexible RESTful APIs to manage CRM data and workflows.,OAuth2,self_serve_trial,REST,broad,False,ready_today,,0.95,https://www.zoho.com/crm/developer/docs/api/v6/|https://www.zoho.com/en-in/crm/,False
8,Close,CRM and Sales,"Close is a sales CRM that automates calling, emailing, texting, pipeline management, and sales workflows with an AI sales agent named Chloe.",OAuth2|API key,self_serve_trial,REST+MCP,broad,True,ready_today,,1.0,https://developer.close.com/|https://close.com,False
9,Copper,CRM and Sales,"Copper is a CRM software that integrates tightly with Google Workspace to manage customer relationships, sales pipelines, and projects.",API key,self_serve_trial,REST,broad,False,ready_today,,0.9,https://developer.copper.com/|https://www.copper.com/,False
10,DealCloud,CRM and Sales,"DealCloud provides a CRM and sales platform with a comprehensive API for managing data, users, files, reports, and more.",API key|Authorization Token|Bearer token,paid_plan_required,REST,broad,False,ready_today,,0.9,https://api.docs.dealcloud.com/|https://api.docs.dealcloud.com,False
11,Zendesk,Support and Helpdesk,Zendesk is an AI-first customer service platform that enables managing and resolving customer and employee requests across multiple channels with AI-powered automation and ticketing.,OAuth2|API key|Bearer token,self_serve_trial,REST,broad,False,ready_today,,0.95,https://developer.zendesk.com/api-reference/|https://www.zendesk.com/in/#georedirect,False
12,Intercom,Support and Helpdesk,Intercom provides a fully-featured AI-powered helpdesk and developer platform with SDKs and REST APIs to build apps that extend and integrate Intercom's customer support capabilities.,OAuth2|PAT / token,self_serve_trial,REST+SDK+MCP,broad,True,ready_today,,0.95,https://developers.intercom.com/docs|https://www.intercom.com/,False
13,Freshdesk,Support and Helpdesk,"Freshdesk is a cloud-based customer support platform offering RESTful APIs to manage tickets, contacts, agents, and other helpdesk resources.",Basic,paid_plan_required,REST,broad,False,ready_today,,0.95,https://developers.freshdesk.com/api/|https://www.freshworks.com/freshdesk/,False
14,Front,Support and Helpdesk,"Front is a customer service platform that unifies team conversations, AI assistance, and multi-channel communication to streamline complex customer operations.",OAuth2|API key,self_serve_free,REST+MCP+SDK,broad,True,ready_today,,0.95,https://dev.frontapp.com/docs/welcome|https://front.com,False
15,Pylon,Support and Helpdesk,Pylon is a B2B support platform with AI agents and product/account context integrations.,API key|OAuth2,self_serve_trial,REST,moderate,True,ready_with_caveats,Docs surface still thin vs Zendesk/Intercom — confirm auth scopes before shipping toolkit.,0.7,https://docs.usepylon.com/|https://usepylon.com,True
16,LiveAgent,Support and Helpdesk,"LiveAgent is an all-in-one customer service platform combining AI-powered help desk, live chat, ticketing, call center, and social media integrations to automate and streamline customer support.",API key,self_serve_trial,REST,broad,False,ready_with_caveats,"API documentation pages are partially missing or 404; some API details are available but incomplete, requiring further verification.",0.7,https://www.liveagent.com/|https://support.liveagent.com/,True
17,Plain,Support and Helpdesk,"Plain is an API-first B2B support platform with a GraphQL API for threads, customers, and AI agents.",API key|Bearer token,self_serve_trial,GraphQL,broad,True,ready_today,,0.9,https://www.plain.com/docs|https://www.plain.com/docs/graphql,False
18,Help Scout,Support and Helpdesk,"Help Scout is a customer support platform that provides tools for managing support conversations, live chat, help docs, and customer portals with AI assistance and automation.",OAuth2|API key,self_serve_trial,REST,broad,False,ready_today,,0.9,https://developer.helpscout.com/|https://www.helpscout.com/,False
